ERROR  | wrapper  | 2018/11/26 14:40:53 | The mycat service is not installed - The specified service does not exist as an installed service. (0x424)
ERROR  | wrapper  | 2018/11/26 15:05:08 | The mycat service is not installed - The specified service does not exist as an installed service. (0x424)
ERROR  | wrapper  | 2018/12/10 08:49:55 | The mycat service is not installed - The specified service does not exist as an installed service. (0x424)
STATUS | wrapper  | 2018/12/13 22:55:40 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/12/13 22:55:41 | Launching a JVM...
INFO   | jvm 1    | 2018/12/13 22:55:41 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2018/12/13 22:55:41 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/12/13 22:55:41 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/12/13 22:55:41 | 
INFO   | jvm 1    | 2018/12/13 22:55:41 | 
INFO   | jvm 1    | 2018/12/13 22:55:41 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2018/12/13 22:55:41 |           following files:
INFO   | jvm 1    | 2018/12/13 22:55:41 |             libwrapper-macosx-x86-64.dylib
INFO   | jvm 1    | 2018/12/13 22:55:41 |             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2018/12/13 22:55:41 |             libwrapper.dylib
INFO   | jvm 1    | 2018/12/13 22:55:41 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2018/12/13 22:55:41 |             /Users/ljl/Documents/forum/src/main/resources/config/Mycat/Mycat/lib
INFO   | jvm 1    | 2018/12/13 22:55:41 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2018/12/13 22:55:41 |           configuration property.
INFO   | jvm 1    | 2018/12/13 22:55:41 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2018/12/13 22:55:41 | 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,285 [INFO ][WrapperSimpleAppMain] total resouces of dataHost localhost1 is :1  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:100) 
INFO   | jvm 1    | 2018/12/13 22:55:42 | 2018-12-13 22:55:42,293 [INFO ][WrapperSimpleAppMain] create layer cache pool TableID2DataNodeCache of type encache ,default cache size 10000 ,default expire seconds18000  (io.mycat.cache.CacheService:CacheService.java:125) 
